tag,step,wall_time,value
loss/train_epoch,82,1775770870.0752847,4.465957164764404
loss/train_epoch,83,1775770870.6045773,4.583860397338867
loss/train_epoch,84,1775770871.1282375,4.3793721199035645
loss/train_epoch,85,1775770871.6514237,4.422152042388916
loss/train_epoch,86,1775770872.1712494,4.419242858886719
loss/train_epoch,87,1775770872.6911027,4.413367748260498
loss/train_epoch,88,1775770873.2115471,4.3657636642456055
loss/train_epoch,89,1775770873.776421,4.312160968780518
loss/train_epoch,90,1775770874.2994633,4.482050895690918
loss/train_epoch,91,1775770874.8184988,4.552340507507324
loss/train_epoch,92,1775770875.3393164,4.404972076416016
loss/train_epoch,93,1775770875.8619888,4.380539894104004
loss/train_epoch,94,1775770876.3817897,4.377664089202881
loss/train_epoch,95,1775770876.9038084,4.432720184326172
loss/train_epoch,96,1775770877.425015,4.289407253265381
loss/train_epoch,97,1775770877.9436133,4.288139820098877
loss/train_epoch,98,1775770878.5100965,4.321876049041748
loss/train_epoch,99,1775770879.0292492,4.572587966918945
loss/train_epoch,100,1775770879.5505283,4.341220855712891
loss/train_epoch,101,1775770880.071668,4.387154579162598
loss/train_epoch,102,1775770880.5950015,4.45646333694458
loss/train_epoch,103,1775770881.1119792,4.331028461456299
loss/train_epoch,104,1775770881.6299431,4.30734395980835
loss/train_epoch,105,1775770882.1530032,4.380784034729004
loss/train_epoch,106,1775770882.7215655,4.389491081237793
loss/train_epoch,107,1775770883.2473679,4.3686933517456055
loss/train_epoch,108,1775770883.7690094,4.386866569519043
loss/train_epoch,109,1775770884.287408,4.296103477478027
loss/train_epoch,110,1775770884.8077366,4.449079990386963
loss/train_epoch,111,1775770885.3309922,4.46279764175415
loss/train_epoch,112,1775770885.8529742,4.402608871459961
loss/train_epoch,113,1775770886.378752,4.370726108551025
