Wall time,Step,Value
1767726477.125952,1199,0.17749246954917908
1767726477.1476305,1206,0.16606229543685913
1767726477.2703938,1232,0.16740217804908752
1767726477.3064187,1244,0.12277919799089432
1767726477.3387635,1255,0.21906349062919617
1767726477.347519,1258,0.2332371473312378
1767726477.3557715,1261,0.1802361011505127
1767726477.4143605,1281,0.14706596732139587
1767726477.4319477,1287,0.09617716819047928
1767726477.4525838,1294,0.24832886457443237
1767726477.4701927,1300,0.19588759541511536
1767726477.516642,1316,0.20390713214874268
1767726477.5243094,1319,0.09258892387151718
1767726477.557157,1330,0.10813814401626587
1767726477.5659292,1333,0.18716445565223694
1767726477.5748482,1336,0.10743847489356995
1767726477.5778039,1337,0.14801809191703796
1767726477.7188396,1385,0.23229213058948517
1767726477.7273753,1388,0.15149804949760437
1767726477.7355602,1391,0.14905492961406708
1767726477.7385232,1392,0.09659472107887268
1767726477.8518693,1414,0.1604790836572647
1767726477.88744,1426,0.15404489636421204
1767726477.893726,1428,0.15896953642368317
1767726477.905456,1432,0.20632076263427734
1767726477.9169416,1436,0.14333368837833405
1767726477.9281144,1440,0.1398940086364746
1767726478.0009005,1465,0.1410108208656311
1767726478.0037377,1466,0.17793592810630798
1767726478.0353816,1477,0.15314510464668274
1767726478.0591083,1485,0.14318522810935974
1767726478.0704772,1489,0.1297946572303772
1767726478.0762515,1491,0.16593801975250244
1767726478.125759,1508,0.15352758765220642
1767726478.1701245,1523,0.1462826281785965
1767726478.1816616,1527,0.1776331663131714
1767726478.254533,1552,0.12935352325439453
1767726478.3021429,1568,0.16569334268569946
1767726478.3050067,1569,0.10528391599655151
1767726478.3481185,1584,0.135700985789299
1767726478.3599484,1588,0.14215251803398132
1767726478.40811,1604,0.15381477773189545
1767726478.4110205,1605,0.180740624666214
1767726478.449718,1618,0.12259331345558167
1767726478.4758453,1627,0.14446085691452026
1767726478.4907928,1632,0.14869678020477295
1767726478.5054088,1637,0.13073529303073883
1767726478.514135,1640,0.15723305940628052
1767726478.5287967,1645,0.11671408265829086
1767726478.5373816,1648,0.1201905608177185
1767726478.5724137,1660,0.15773501992225647
1767726478.5954757,1668,0.1255556046962738
1767726478.6156955,1675,0.16930222511291504
1767726478.6357098,1682,0.21157458424568176
1767726478.6621737,1691,0.11224108189344406
1767726478.6741831,1695,0.1274336874485016
1767726478.6799004,1697,0.11779500544071198
1767726478.6856487,1699,0.13153907656669617
1767726478.694311,1702,0.10480010509490967
1767726478.713522,1709,0.07663632184267044
1767726478.7895546,1718,0.12168711423873901
1767726478.819761,1728,0.19907039403915405
1767726478.8315954,1732,0.13878905773162842
1767726478.8374486,1734,0.20033684372901917
1767726478.8472736,1737,0.19352690875530243
1767726478.8625388,1742,0.15500083565711975
1767726478.8713677,1745,0.10556216537952423
1767726478.874391,1746,0.12487755715847015
1767726478.8772814,1747,0.13754647970199585
1767726478.9332664,1766,0.16882678866386414
1767726478.9597495,1775,0.12036065757274628
1767726478.977616,1781,0.09335383772850037
1767726478.998031,1788,0.150933638215065
1767726479.001045,1789,0.20373621582984924
1767726479.0276706,1798,0.15420907735824585
1767726479.0479538,1805,0.13361306488513947
1767726479.1096823,1826,0.1935991793870926
1767726479.120958,1830,0.22280848026275635
1767726479.1508863,1840,0.2209814041852951
1767726479.162221,1844,0.16474398970603943
1767726479.1885805,1853,0.10810375213623047
1767726479.2249494,1866,0.13463369011878967
1767726479.234064,1869,0.13627643883228302
1767726479.251193,1875,0.176127627491951
1767726479.2567794,1877,0.15151026844978333
1767726479.4053168,1911,0.1455020308494568
1767726479.423113,1917,0.19474640488624573
1767726479.4734142,1934,0.11907285451889038
1767726479.4794044,1936,0.10561993718147278
1767726479.5029902,1944,0.13031160831451416
1767726479.5116415,1947,0.09890639781951904
1767726479.516644,1949,0.1969698965549469
1767726479.5701146,1967,0.16132159531116486
1767726479.6111803,1981,0.09260016679763794
1767726479.6167808,1983,0.10313309729099274
1767726479.6695812,2001,0.16014330089092255
1767726479.6813588,2005,0.10261956602334976
1767726479.7045436,2013,0.14047136902809143
1767726479.7540429,2030,0.11368376016616821
1767726479.7709644,2036,0.1302117258310318
1767726479.8413608,2060,0.1435280740261078
1767726479.8792465,2073,0.1311500370502472
1767726479.8888173,2076,0.09399963915348053
1767726479.8917005,2077,0.1157861202955246
1767726479.8976276,2079,0.13065385818481445
1767726479.9035115,2081,0.12010546028614044
1767726479.9149904,2085,0.1477171778678894
1767726479.926797,2089,0.15395303070545197
1767726479.947303,2096,0.08574257791042328
1767726479.9912057,2111,0.16950349509716034
1767726480.0900915,2145,0.13911741971969604
1767726480.1016426,2149,0.11968128383159637
1767726480.122275,2156,0.1605692207813263
1767726480.1488793,2165,0.11155606061220169
1767726480.1842906,2177,0.08459542691707611
1767726480.2140272,2187,0.13531193137168884
1767726480.219002,2189,0.23806777596473694
1767726480.2254798,2191,0.19781982898712158
1767726480.2286317,2192,0.10797953605651855
1767726480.2402837,2196,0.10586507618427277
1767726480.249871,2199,0.1266142874956131
1767726480.273188,2207,0.11480088531970978
1767726480.332972,2211,0.1301487684249878
1767726480.3919206,2231,0.1892709732055664
1767726480.4063206,2236,0.2278747707605362
1767726480.4091816,2237,0.14342722296714783
1767726480.4154541,2239,0.10061632096767426
1767726480.4241076,2242,0.11068597435951233
1767726480.436174,2246,0.1563374549150467
1767726480.439121,2247,0.12525130808353424
1767726480.459519,2254,0.12241235375404358
1767726480.46838,2257,0.1548270285129547
1767726480.4962435,2262,0.13797882199287415
1767726480.638946,2281,0.17064380645751953
1767726480.6703315,2291,0.11265434324741364
1767726480.6876087,2297,0.20012639462947845
1767726480.7058046,2303,0.14443707466125488
1767726480.7170138,2307,0.11474090814590454
1767726480.7516878,2319,0.14457961916923523
1767726480.7546616,2320,0.12583479285240173
1767726480.8282335,2345,0.11767911911010742
1767726480.8552825,2354,0.21223121881484985
1767726480.9052424,2371,0.07622022926807404
1767726481.006651,2389,0.10879778861999512
1767726481.0098307,2390,0.1474757194519043
1767726481.0157719,2392,0.17173907160758972
1767726481.0568078,2406,0.16683752834796906
1767726481.1444771,2436,0.17589053511619568
1767726481.167252,2444,0.1497488021850586
1767726481.1875322,2451,0.22006109356880188
1767726481.1932828,2453,0.21843668818473816
1767726481.198792,2455,0.14269858598709106
1767726481.212614,2460,0.19569087028503418
1767726481.2862797,2485,0.12435077130794525
1767726481.28915,2486,0.13996250927448273
1767726481.3177881,2496,0.2020791471004486
1767726481.3235316,2498,0.20494318008422852
1767726481.3381739,2503,0.12833259999752045
1767726481.3787253,2517,0.1260191798210144
1767726481.3954382,2523,0.08834023028612137
1767726481.4221842,2532,0.12817169725894928
1767726481.4657543,2547,0.1705246865749359
1767726481.4769514,2551,0.18445757031440735
1767726481.482944,2553,0.1461327075958252
1767726481.5219877,2566,0.1965547651052475
1767726481.556365,2578,0.11648865789175034
1767726481.5905619,2590,0.12811292707920074
1767726481.6201513,2600,0.13657069206237793
1767726481.6376035,2606,0.08706875145435333
1767726481.6877177,2623,0.13996320962905884
1767726481.7052646,2629,0.1724359095096588
1767726481.7081006,2630,0.16718032956123352
1767726481.7310922,2638,0.07218021154403687
1767726481.7479055,2644,0.12933684885501862
1767726481.765397,2650,0.12461989372968674
1767726481.7805755,2655,0.11726175993680954
1767726481.8476236,2678,0.15373948216438293
1767726481.8693461,2685,0.13394790887832642
1767726481.883936,2690,0.13701990246772766
1767726481.921064,2703,0.1383453905582428
1767726481.9906428,2710,0.18270769715309143
1767726482.034034,2725,0.14208270609378815
1767726482.0686057,2737,0.1582011580467224
1767726482.0775173,2740,0.09806980192661285
1767726482.117736,2754,0.16931688785552979
1767726482.1206262,2755,0.110687255859375
1767726482.1262817,2757,0.11133792251348495
1767726482.2183855,2789,0.175037682056427
1767726482.2218356,2790,0.23108381032943726
1767726482.224764,2791,0.10553793609142303
1767726482.2453556,2798,0.14711448550224304
1767726482.2774308,2809,0.1531250774860382
1767726482.3205929,2824,0.20426934957504272
1767726482.335814,2829,0.1751999855041504
1767726482.422539,2859,0.15769034624099731
1767726482.4609077,2872,0.1524582803249359
1767726482.4868858,2881,0.14423012733459473
1767726482.561287,2890,0.1460813283920288
1767726482.578861,2896,0.14287902414798737
1767726482.5906155,2900,0.1377500593662262
1767726482.6399846,2917,0.13009850680828094
1767726482.6462905,2919,0.12441552430391312
1767726482.649041,2920,0.14934267103672028
1767726482.6841266,2932,0.1165507584810257
1767726482.7866337,2967,0.14423328638076782
1767726482.8096933,2975,0.16448724269866943
1767726482.8781211,2998,0.10298264771699905
1767726482.903733,3007,0.17216180264949799
1767726482.9095953,3009,0.1227642074227333
1767726482.9154162,3011,0.12197011709213257
1767726482.9276595,3015,0.10088439285755157
